Label	File	ReadType	Batch
AdrenalGland_SRR1957124	./SRA_20_tissues_hg19_HISAT2/AdrenalGland_SRR1957124/SRR1957124.exon.counts.txt	exonic	1
AdrenalGland_SRR1957124	./SRA_20_tissues_hg19_HISAT2/AdrenalGland_SRR1957124/SRR1957124.ungapped.intron.counts.txt	intronic	1
Brain_SRR1957183	./SRA_20_tissues_hg19_HISAT2/Brain_SRR1957183/SRR1957183.exon.counts.txt	exonic	1
Brain_SRR1957183	./SRA_20_tissues_hg19_HISAT2/Brain_SRR1957183/SRR1957183.ungapped.intron.counts.txt	intronic	1
Cerebellum_SRR1957125	./SRA_20_tissues_hg19_HISAT2/Cerebellum_SRR1957125/SRR1957125.exon.counts.txt	exonic	1
Cerebellum_SRR1957125	./SRA_20_tissues_hg19_HISAT2/Cerebellum_SRR1957125/SRR1957125.ungapped.intron.counts.txt	intronic	1
FetalBrain_SRR1957186	./SRA_20_tissues_hg19_HISAT2/FetalBrain_SRR1957186/SRR1957186.exon.counts.txt	exonic	1
FetalBrain_SRR1957186	./SRA_20_tissues_hg19_HISAT2/FetalBrain_SRR1957186/SRR1957186.ungapped.intron.counts.txt	intronic	1
FetalLiver_SRR1957188	./SRA_20_tissues_hg19_HISAT2/FetalLiver_SRR1957188/SRR1957188.exon.counts.txt	exonic	1
FetalLiver_SRR1957188	./SRA_20_tissues_hg19_HISAT2/FetalLiver_SRR1957188/SRR1957188.ungapped.intron.counts.txt	intronic	1
Heart_SRR1957191	./SRA_20_tissues_hg19_HISAT2/Heart_SRR1957191/SRR1957191.exon.counts.txt	exonic	1
Heart_SRR1957191	./SRA_20_tissues_hg19_HISAT2/Heart_SRR1957191/SRR1957191.ungapped.intron.counts.txt	intronic	1
Kidney_SRR1957192	./SRA_20_tissues_hg19_HISAT2/Kidney_SRR1957192/SRR1957192.exon.counts.txt	exonic	1
Kidney_SRR1957192	./SRA_20_tissues_hg19_HISAT2/Kidney_SRR1957192/SRR1957192.ungapped.intron.counts.txt	intronic	1
Liver_SRR1957193	./SRA_20_tissues_hg19_HISAT2/Liver_SRR1957193/SRR1957193.exon.counts.txt	exonic	1
Liver_SRR1957193	./SRA_20_tissues_hg19_HISAT2/Liver_SRR1957193/SRR1957193.ungapped.intron.counts.txt	intronic	1
Lung_SRR1957195	./SRA_20_tissues_hg19_HISAT2/Lung_SRR1957195/SRR1957195.exon.counts.txt	exonic	1
Lung_SRR1957195	./SRA_20_tissues_hg19_HISAT2/Lung_SRR1957195/SRR1957195.ungapped.intron.counts.txt	intronic	1
Placenta_SRR1957197	./SRA_20_tissues_hg19_HISAT2/Placenta_SRR1957197/SRR1957197.exon.counts.txt	exonic	1
Placenta_SRR1957197	./SRA_20_tissues_hg19_HISAT2/Placenta_SRR1957197/SRR1957197.ungapped.intron.counts.txt	intronic	1
Prostate_SRR1957198	./SRA_20_tissues_hg19_HISAT2/Prostate_SRR1957198/SRR1957198.exon.counts.txt	exonic	1
Prostate_SRR1957198	./SRA_20_tissues_hg19_HISAT2/Prostate_SRR1957198/SRR1957198.ungapped.intron.counts.txt	intronic	1
SalivaryGland_SRR1957200	./SRA_20_tissues_hg19_HISAT2/SalivaryGland_SRR1957200/SRR1957200.exon.counts.txt	exonic	1
SalivaryGland_SRR1957200	./SRA_20_tissues_hg19_HISAT2/SalivaryGland_SRR1957200/SRR1957200.ungapped.intron.counts.txt	intronic	1
SkeletalMuscle_SRR1957201	./SRA_20_tissues_hg19_HISAT2/SkeletalMuscle_SRR1957201/SRR1957201.exon.counts.txt	exonic	1
