Label	File	ReadType	Batch
RenLab-RNA-Seq-bone-marrow_1_SRR207090	../Shen_2012_GSE29278_counts/RenLab-RNA-Seq-bone-marrow_1_SRR207090/SRR207090.exon.counts.txt	exonic	1
RenLab-RNA-Seq-bone-marrow_1_SRR207090	../Shen_2012_GSE29278_counts/RenLab-RNA-Seq-bone-marrow_1_SRR207090/SRR207090.ungapped.intron.counts.txt	intronic	1
RenLab-RNA-Seq-bone-marrow_2_SRR207091	../Shen_2012_GSE29278_counts/RenLab-RNA-Seq-bone-marrow_2_SRR207091/SRR207091.exon.counts.txt	exonic	1
RenLab-RNA-Seq-bone-marrow_2_SRR207091	../Shen_2012_GSE29278_counts/RenLab-RNA-Seq-bone-marrow_2_SRR207091/SRR207091.ungapped.intron.counts.txt	intronic	1
RenLab-RNA-Seq-cerebellum_1_SRR207092	../Shen_2012_GSE29278_counts/RenLab-RNA-Seq-cerebellum_1_SRR207092/SRR207092.exon.counts.txt	exonic	1
RenLab-RNA-Seq-cerebellum_1_SRR207092	../Shen_2012_GSE29278_counts/RenLab-RNA-Seq-cerebellum_1_SRR207092/SRR207092.ungapped.intron.counts.txt	intronic	1
RenLab-RNA-Seq-cerebellum_2_SRR207093	../Shen_2012_GSE29278_counts/RenLab-RNA-Seq-cerebellum_2_SRR207093/SRR207093.exon.counts.txt	exonic	1
RenLab-RNA-Seq-cerebellum_2_SRR207093	../Shen_2012_GSE29278_counts/RenLab-RNA-Seq-cerebellum_2_SRR207093/SRR207093.ungapped.intron.counts.txt	intronic	1
RenLab-RNA-Seq-cortex_1_SRR207094	../Shen_2012_GSE29278_counts/RenLab-RNA-Seq-cortex_1_SRR207094/SRR207094.exon.counts.txt	exonic	1
RenLab-RNA-Seq-cortex_1_SRR207094	../Shen_2012_GSE29278_counts/RenLab-RNA-Seq-cortex_1_SRR207094/SRR207094.ungapped.intron.counts.txt	intronic	1
RenLab-RNA-Seq-cortex_2_SRR207095	../Shen_2012_GSE29278_counts/RenLab-RNA-Seq-cortex_2_SRR207095/SRR207095.exon.counts.txt	exonic	1
RenLab-RNA-Seq-cortex_2_SRR207095	../Shen_2012_GSE29278_counts/RenLab-RNA-Seq-cortex_2_SRR207095/SRR207095.ungapped.intron.counts.txt	intronic	1
RenLab-RNA-Seq-E14.5-brain_1_SRR392604	../Shen_2012_GSE29278_counts/RenLab-RNA-Seq-E14.5-brain_1_SRR392604/SRR392604.exon.counts.txt	exonic	1
RenLab-RNA-Seq-E14.5-brain_1_SRR392604	../Shen_2012_GSE29278_counts/RenLab-RNA-Seq-E14.5-brain_1_SRR392604/SRR392604.ungapped.intron.counts.txt	intronic	1
RenLab-RNA-Seq-E14.5-brain_2_SRR392605	../Shen_2012_GSE29278_counts/RenLab-RNA-Seq-E14.5-brain_2_SRR392605/SRR392605.exon.counts.txt	exonic	1
RenLab-RNA-Seq-E14.5-brain_2_SRR392605	../Shen_2012_GSE29278_counts/RenLab-RNA-Seq-E14.5-brain_2_SRR392605/SRR392605.ungapped.intron.counts.txt	intronic	1
RenLab-RNA-Seq-E14.5-heart_1_SRR392606	../Shen_2012_GSE29278_counts/RenLab-RNA-Seq-E14.5-heart_1_SRR392606/SRR392606.exon.counts.txt	exonic	1
RenLab-RNA-Seq-E14.5-heart_1_SRR392606	../Shen_2012_GSE29278_counts/RenLab-RNA-Seq-E14.5-heart_1_SRR392606/SRR392606.ungapped.intron.counts.txt	intronic	1
RenLab-RNA-Seq-E14.5-heart_2_SRR392607	../Shen_2012_GSE29278_counts/RenLab-RNA-Seq-E14.5-heart_2_SRR392607/SRR392607.exon.counts.txt	exonic	1
RenLab-RNA-Seq-E14.5-heart_2_SRR392607	../Shen_2012_GSE29278_counts/RenLab-RNA-Seq-E14.5-heart_2_SRR392607/SRR392607.ungapped.intron.counts.txt	intronic	1
RenLab-RNA-Seq-E14.5-limb_1_SRR392608	../Shen_2012_GSE29278_counts/RenLab-RNA-Seq-E14.5-limb_1_SRR392608/SRR392608.exon.counts.txt	exonic	1
RenLab-RNA-Seq-E14.5-limb_1_SRR392608	../Shen_2012_GSE29278_counts/RenLab-RNA-Seq-E14.5-limb_1_SRR392608/SRR392608.ungapped.intron.counts.txt	intronic	1
