Label	File	ReadType	Batch
GSE36916_RNASeq_Mouse_Liver_Rep1_ZT10	./counts/GSE36916_RNASeq_Mouse_Liver_Rep1_ZT10.exonic.tab	exonic	1
GSE36916_RNASeq_Mouse_Liver_Rep1_ZT14	./counts/GSE36916_RNASeq_Mouse_Liver_Rep1_ZT14.exonic.tab	exonic	1
GSE36916_RNASeq_Mouse_Liver_Rep1_ZT18	./counts/GSE36916_RNASeq_Mouse_Liver_Rep1_ZT18.exonic.tab	exonic	1
GSE36916_RNASeq_Mouse_Liver_Rep1_ZT2	./counts/GSE36916_RNASeq_Mouse_Liver_Rep1_ZT2.exonic.tab	exonic	1
GSE36916_RNASeq_Mouse_Liver_Rep1_ZT22	./counts/GSE36916_RNASeq_Mouse_Liver_Rep1_ZT22.exonic.tab	exonic	1
GSE36916_RNASeq_Mouse_Liver_Rep1_ZT6	./counts/GSE36916_RNASeq_Mouse_Liver_Rep1_ZT6.exonic.tab	exonic	1
GSE36916_RNASeq_Mouse_Liver_Rep2_ZT10	./counts/GSE36916_RNASeq_Mouse_Liver_Rep2_ZT10.exonic.tab	exonic	1
GSE36916_RNASeq_Mouse_Liver_Rep2_ZT14	./counts/GSE36916_RNASeq_Mouse_Liver_Rep2_ZT14.exonic.tab	exonic	1
GSE36916_RNASeq_Mouse_Liver_Rep2_ZT18	./counts/GSE36916_RNASeq_Mouse_Liver_Rep2_ZT18.exonic.tab	exonic	1
GSE36916_RNASeq_Mouse_Liver_Rep2_ZT2	./counts/GSE36916_RNASeq_Mouse_Liver_Rep2_ZT2.exonic.tab	exonic	1
GSE36916_RNASeq_Mouse_Liver_Rep2_ZT22	./counts/GSE36916_RNASeq_Mouse_Liver_Rep2_ZT22.exonic.tab	exonic	1
GSE36916_RNASeq_Mouse_Liver_Rep2_ZT6	./counts/GSE36916_RNASeq_Mouse_Liver_Rep2_ZT6.exonic.tab	exonic	1
GSE36916_RNASeq_Mouse_Liver_Rep1_ZT10	./counts/GSE36916_RNASeq_Mouse_Liver_Rep1_ZT10.intronic.tab	intronic	1
GSE36916_RNASeq_Mouse_Liver_Rep1_ZT14	./counts/GSE36916_RNASeq_Mouse_Liver_Rep1_ZT14.intronic.tab	intronic	1
GSE36916_RNASeq_Mouse_Liver_Rep1_ZT18	./counts/GSE36916_RNASeq_Mouse_Liver_Rep1_ZT18.intronic.tab	intronic	1
GSE36916_RNASeq_Mouse_Liver_Rep1_ZT2	./counts/GSE36916_RNASeq_Mouse_Liver_Rep1_ZT2.intronic.tab	intronic	1
GSE36916_RNASeq_Mouse_Liver_Rep1_ZT22	./counts/GSE36916_RNASeq_Mouse_Liver_Rep1_ZT22.intronic.tab	intronic	1
GSE36916_RNASeq_Mouse_Liver_Rep1_ZT6	./counts/GSE36916_RNASeq_Mouse_Liver_Rep1_ZT6.intronic.tab	intronic	1
GSE36916_RNASeq_Mouse_Liver_Rep2_ZT10	./counts/GSE36916_RNASeq_Mouse_Liver_Rep2_ZT10.intronic.tab	intronic	1
GSE36916_RNASeq_Mouse_Liver_Rep2_ZT14	./counts/GSE36916_RNASeq_Mouse_Liver_Rep2_ZT14.intronic.tab	intronic	1
GSE36916_RNASeq_Mouse_Liver_Rep2_ZT18	./counts/GSE36916_RNASeq_Mouse_Liver_Rep2_ZT18.intronic.tab	intronic	1
GSE36916_RNASeq_Mouse_Liver_Rep2_ZT2	./counts/GSE36916_RNASeq_Mouse_Liver_Rep2_ZT2.intronic.tab	intronic	1
GSE36916_RNASeq_Mouse_Liver_Rep2_ZT22	./counts/GSE36916_RNASeq_Mouse_Liver_Rep2_ZT22.intronic.tab	intronic	1
GSE36916_RNASeq_Mouse_Liver_Rep2_ZT6	./counts/GSE36916_RNASeq_Mouse_Liver_Rep2_ZT6.intronic.tab	intronic	1
GSE39978_CT0	./counts/GSE39978_CT0.exonic.tab	exonic	1
GSE39978_CT4	./counts/GSE39978_CT4.exonic.tab	exonic	1
GSE39978_CT8	./counts/GSE39978_CT8.exonic.tab	exonic	1
GSE39978_CT12	./counts/GSE39978_CT12.exonic.tab	exonic	1
GSE39978_CT16	./counts/GSE39978_CT16.exonic.tab	exonic	1
GSE39978_CT20	./counts/GSE39978_CT20.exonic.tab	exonic	1
GSE39978_CT24	./counts/GSE39978_CT24.exonic.tab	exonic	1
GSE39978_CT28	./counts/GSE39978_CT28.exonic.tab	exonic	1
GSE39978_CT32	./counts/GSE39978_CT32.exonic.tab	exonic	1
GSE39978_CT36	./counts/GSE39978_CT36.exonic.tab	exonic	1
GSE39978_CT40	./counts/GSE39978_CT40.exonic.tab	exonic	1
