Label	File	ReadType	Batch
RenLab-RNA-Seq-E14.5-brain_1_SRR392604	./RenLab-RNA-Seq-E14.5-brain_1_SRR392604/SRR392604.exon.counts.txt	exonic	1
RenLab-RNA-Seq-E14.5-brain_1_SRR392604	./RenLab-RNA-Seq-E14.5-brain_1_SRR392604/SRR392604.ungapped.intron.counts.txt	intronic	1
RenLab-RNA-Seq-E14.5-brain_2_SRR392605	./RenLab-RNA-Seq-E14.5-brain_2_SRR392605/SRR392605.exon.counts.txt	exonic	1
RenLab-RNA-Seq-E14.5-brain_2_SRR392605	./RenLab-RNA-Seq-E14.5-brain_2_SRR392605/SRR392605.ungapped.intron.counts.txt	intronic	1
RenLab-RNA-Seq-E14.5-heart_1_SRR392606	./RenLab-RNA-Seq-E14.5-heart_1_SRR392606/SRR392606.exon.counts.txt	exonic	1
RenLab-RNA-Seq-E14.5-heart_1_SRR392606	./RenLab-RNA-Seq-E14.5-heart_1_SRR392606/SRR392606.ungapped.intron.counts.txt	intronic	1
RenLab-RNA-Seq-E14.5-heart_2_SRR392607	./RenLab-RNA-Seq-E14.5-heart_2_SRR392607/SRR392607.exon.counts.txt	exonic	1
RenLab-RNA-Seq-E14.5-heart_2_SRR392607	./RenLab-RNA-Seq-E14.5-heart_2_SRR392607/SRR392607.ungapped.intron.counts.txt	intronic	1
RenLab-RNA-Seq-E14.5-limb_1_SRR392608	./RenLab-RNA-Seq-E14.5-limb_1_SRR392608/SRR392608.exon.counts.txt	exonic	1
RenLab-RNA-Seq-E14.5-limb_1_SRR392608	./RenLab-RNA-Seq-E14.5-limb_1_SRR392608/SRR392608.ungapped.intron.counts.txt	intronic	1
RenLab-RNA-Seq-E14.5-limb_2_SRR392609	./RenLab-RNA-Seq-E14.5-limb_2_SRR392609/SRR392609.exon.counts.txt	exonic	1
RenLab-RNA-Seq-E14.5-limb_2_SRR392609	./RenLab-RNA-Seq-E14.5-limb_2_SRR392609/SRR392609.ungapped.intron.counts.txt	intronic	1
RenLab-RNA-Seq-E14.5-liver_1_SRR392610	./RenLab-RNA-Seq-E14.5-liver_1_SRR392610/SRR392610.exon.counts.txt	exonic	1
RenLab-RNA-Seq-E14.5-liver_1_SRR392610	./RenLab-RNA-Seq-E14.5-liver_1_SRR392610/SRR392610.ungapped.intron.counts.txt	intronic	1
RenLab-RNA-Seq-E14.5-liver_2_SRR392611	./RenLab-RNA-Seq-E14.5-liver_2_SRR392611/SRR392611.exon.counts.txt	exonic	1
RenLab-RNA-Seq-E14.5-liver_2_SRR392611	./RenLab-RNA-Seq-E14.5-liver_2_SRR392611/SRR392611.ungapped.intron.counts.txt	intronic	1
RenLab-RNA-Seq-MEF_1_SRR207106	./RenLab-RNA-Seq-MEF_1_SRR207106/SRR207106.exon.counts.txt	exonic	1
RenLab-RNA-Seq-MEF_1_SRR207106	./RenLab-RNA-Seq-MEF_1_SRR207106/SRR207106.ungapped.intron.counts.txt	intronic	1
RenLab-RNA-Seq-MEF_2_SRR207107	./RenLab-RNA-Seq-MEF_2_SRR207107/SRR207107.exon.counts.txt	exonic	1
RenLab-RNA-Seq-MEF_2_SRR207107	./RenLab-RNA-Seq-MEF_2_SRR207107/SRR207107.ungapped.intron.counts.txt	intronic	1
RenLab-RNA-Seq-bone-marrow_1_SRR207090	./RenLab-RNA-Seq-bone-marrow_1_SRR207090/SRR207090.exon.counts.txt	exonic	1
RenLab-RNA-Seq-bone-marrow_1_SRR207090	./RenLab-RNA-Seq-bone-marrow_1_SRR207090/SRR207090.ungapped.intron.counts.txt	intronic	1
RenLab-RNA-Seq-bone-marrow_2_SRR207091	./RenLab-RNA-Seq-bone-marrow_2_SRR207091/SRR207091.exon.counts.txt	exonic	1
RenLab-RNA-Seq-bone-marrow_2_SRR207091	./RenLab-RNA-Seq-bone-marrow_2_SRR207091/SRR207091.ungapped.intron.counts.txt	intronic	1
RenLab-RNA-Seq-cerebellum_1_SRR207092	./RenLab-RNA-Seq-cerebellum_1_SRR207092/SRR207092.exon.counts.txt	exonic	1
RenLab-RNA-Seq-cerebellum_1_SRR207092	./RenLab-RNA-Seq-cerebellum_1_SRR207092/SRR207092.ungapped.intron.counts.txt	intronic	1
RenLab-RNA-Seq-cerebellum_2_SRR207093	./RenLab-RNA-Seq-cerebellum_2_SRR207093/SRR207093.exon.counts.txt	exonic	1
RenLab-RNA-Seq-cerebellum_2_SRR207093	./RenLab-RNA-Seq-cerebellum_2_SRR207093/SRR207093.ungapped.intron.counts.txt	intronic	1
RenLab-RNA-Seq-cortex_1_SRR207094	./RenLab-RNA-Seq-cortex_1_SRR207094/SRR207094.exon.counts.txt	exonic	1
RenLab-RNA-Seq-cortex_1_SRR207094	./RenLab-RNA-Seq-cortex_1_SRR207094/SRR207094.ungapped.intron.counts.txt	intronic	1
RenLab-RNA-Seq-cortex_2_SRR207095	./RenLab-RNA-Seq-cortex_2_SRR207095/SRR207095.exon.counts.txt	exonic	1
RenLab-RNA-Seq-cortex_2_SRR207095	./RenLab-RNA-Seq-cortex_2_SRR207095/SRR207095.ungapped.intron.counts.txt	intronic	1
RenLab-RNA-Seq-heart_1_SRR207096	./RenLab-RNA-Seq-heart_1_SRR207096/SRR207096.exon.counts.txt	exonic	1
RenLab-RNA-Seq-heart_1_SRR207096	./RenLab-RNA-Seq-heart_1_SRR207096/SRR207096.ungapped.intron.counts.txt	intronic	1
RenLab-RNA-Seq-heart_2_SRR207097	./RenLab-RNA-Seq-heart_2_SRR207097/SRR207097.exon.counts.txt	exonic	1
RenLab-RNA-Seq-heart_2_SRR207097	./RenLab-RNA-Seq-heart_2_SRR207097/SRR207097.ungapped.intron.counts.txt	intronic	1
RenLab-RNA-Seq-intestine_1_SRR392613	./RenLab-RNA-Seq-intestine_1_SRR392613/SRR392613.exon.counts.txt	exonic	1
RenLab-RNA-Seq-intestine_1_SRR392613	./RenLab-RNA-Seq-intestine_1_SRR392613/SRR392613.ungapped.intron.counts.txt	intronic	1
RenLab-RNA-Seq-intestine_2_SRR499923	./RenLab-RNA-Seq-intestine_2_SRR499923/SRR499923.exon.counts.txt	exonic	1
RenLab-RNA-Seq-intestine_2_SRR499923	./RenLab-RNA-Seq-intestine_2_SRR499923/SRR499923.ungapped.intron.counts.txt	intronic	1
RenLab-RNA-Seq-kidney_1_SRR207098	./RenLab-RNA-Seq-kidney_1_SRR207098/SRR207098.exon.counts.txt	exonic	1
RenLab-RNA-Seq-kidney_1_SRR207098	./RenLab-RNA-Seq-kidney_1_SRR207098/SRR207098.ungapped.intron.counts.txt	intronic	1
RenLab-RNA-Seq-kidney_2_SRR207099	./RenLab-RNA-Seq-kidney_2_SRR207099/SRR207099.exon.counts.txt	exonic	1
RenLab-RNA-Seq-kidney_2_SRR207099	./RenLab-RNA-Seq-kidney_2_SRR207099/SRR207099.ungapped.intron.counts.txt	intronic	1
